#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
angel who talked with Zechariah	1		Adult			ZEC 1:9 <-(40 more)-> ZEC 6:8
angel who wrestled with Jacob	1	Male	Adult			GEN 32:26 <-(2 more)-> GEN 32:29
angel, another, coming down from heaven	1		Adult			REV 18:2 & REV 18:3
angel, coming out of temple	1		Adult			REV 14:15
angel, coming out of temple, another	1		Adult			REV 14:18
angel, powerful	1		Adult			REV 5:2 <-(3 more)-> REV 18:24
angelic riders or horses (in vision)	-1	PreferMale				ZEC 1:11
angels at Sodom, two	2	Male	Adult			GEN 18:5 <-(8 more)-> GEN 19:22
angels in white, two	2	Male	Adult			MAT 28:5 <-(7 more)-> JHN 20:13
angels, all the	-1		Adult			REV 7:12
angels, many	-1		Adult			REV 5:12
Anna, prophetess	1	Female	Elder			LUK 2:38
another disciple of John the Baptist	1	Male	Adult		Became disciple of Jesus (not Andrew, Simon Peter, Philip, Nathanael, or Matthew)	JHN 1:38
another holy one (in vision)	1		Adult			DAN 8:13
answer from Israel	1		Adult			ISA 14:32
anyone	1		Adult			JHN 9:22 <-(4 more)-> 2JN 1:11
anyone with complaint for king	1		Adult			2SA 15:2
Apollos	1	Male	Adult			ACT 18:28
apostles, elders, and whole church at Jerusalem	-1		Adult			ACT 4:24 <-(7 more)-> ACT 15:22
Aramean soldiers	-1	Male	Adult			2KI 7:6	Syrians
Araunah, the Jebusite	1	Male	Adult			2SA 24:21 <-(2 more)-> 1CH 21:23
Arioch	1	Male	Adult			DAN 2:25
army cry	-1	Male	Adult			1KI 22:36
army officer, one of	1	Male	Adult			2KI 9:11
army officers	-1	Male	Adult			2KI 9:12 <-(5 more)-> JER 42:6
Aroer, inhabitant of	-1	Male	Adult			JER 48:19
arrogant men	-1	Male	Adult			JER 43:2 & JER 43:3
Artaxerxes, king of Persia	1	Male	Adult			EZR 4:17 <-(24 more)-> NEH 5:14
Asa, king of Judah	1	Male	Adult			1KI 15:19 <-(2 more)-> 2CH 16:3
Asahel, brother of Joab	1	Male	Adult			2SA 2:20
Asaph	1	Male	Adult			
Asher	1	Male	Adult			GEN 37:8 <-(33 more)-> GEN 50:18
assembly, whole	-1		Adult			EZR 10:12 <-(2 more)-> NEH 5:13
astrologers	-1	Male	Adult			DAN 2:4 <-(6 more)-> DAN 3:12	Chaldean
Athaliah, mother of Ahaziah (Queen)	1	Female	Adult			2KI 11:14 & 2CH 23:13
attendents of Phineas' wife	-1	Female	Adult			1SA 4:20
authorities, governing	-1	Male	Adult			ROM 13:3
authorities, Philippi	-1	Male	Adult			ACT 16:22 & ACT 16:23
Azariah the chief priest (during reign of Hezekiah)	1	Male			from the family of Zadok	2CH 31:10	Azariah (priest)
Azariah the priest (during reign of Uzziah)	1	Male				2CH 26:18	Azariah (priest)
Azariah, son of Hoshaiah	1	Male				JER 43:2 & JER 43:3
Azariah, son of Jehohanan	1	Male			leader in Ephraim	2CH 28:13	Leader
Azariah, son of Oded	1	Male				2CH 15:2 <-(4 more)-> 2CH 15:7	Azariah (prophet)
Baanah	1	Male				2SA 4:8
Babylon (personified as adulteress)	1	Female	Adult			ISA 47:7 <-(2 more)-> REV 18:7
Balaam	1	Male	Adult			NUM 22:8 <-(46 more)-> NUM 24:24
Balak	1	Male	Adult			NUM 22:5 <-(8 more)-> NUM 24:11
Barak	1	Male	Adult			JDG 4:8 <-(29 more)-> JDG 5:31
Barnabas	1	Male	Adult			ACT 9:27 <-(16 more)-> ACT 15:37
Bartimaeus (a blind man)	1	Male	Adult			MAT 20:30 <-(11 more)-> LUK 18:43	Man (Blind)
Baruch	1	Male	Adult			JER 36:18
Barzillai	1	Male	Adult		Gileadite	2SA 17:29
Barzillai (old)	1	Male	Elder		Gileadite	2SA 19:34 <-(2 more)-> 2SA 19:37
Bathsheba	1	Female	Adult			2SA 11:5 <-(11 more)-> 1KI 2:21
beam	1					HAB 2:12
beast from out of the earth	1		Adult			REV 13:14
believers who came with Peter	-1	Male	Adult			ACT 10:45
