Control File Version	163
#	C	V	Character ID	Delivery	Alias	Quote Type	Default Character	Parallel Passage
# DEU Almost the whole book is by Moses -- In some Bibles, first level quotes are actually 2nd level -- see DEU 1.5
GEN	13	9	Abraham (Abram)			Normal		
GEN	13	14	God		God (Yahweh)	Normal		
GEN	13	15	God		God (Yahweh)	Implicit		
GEN	13	16	God		God (Yahweh)	Implicit		
GEN	13	17	God		God (Yahweh)	Implicit		
GEN	14	4	Bera, king of Sodom/Birsha, king of Gomorrah/Shinab, king of Admah/Shemeber, king of Zeboiim/king of Bela			Indirect	Bera, king of Sodom	
GEN	14	17	narrator-GEN			Quotation		
GEN	14	19	Melchizedek, king of Salem (priest of God Most High)			Normal		
GEN	14	20	Melchizedek, king of Salem (priest of God Most High)			Normal		
GEN	14	21	Bera, king of Sodom			Normal		
GEN	14	22	Abraham (Abram)			Normal		
GEN	14	23	Abraham (Abram)			Implicit		
GEN	14	24	Abraham (Abram)			Implicit		
GEN	15	1	God		God (Yahweh) (in vision)	Normal		
GEN	15	2	Abraham (Abram)			Normal		
GEN	15	3	Abraham (Abram)			Normal		
GEN	15	4	God		God (Yahweh) (in vision)	Normal		
GEN	15	5	God		God (Yahweh) (in vision)	Normal		
GEN	15	7	God		God (Yahweh) (in vision)	Normal		
GEN	15	8	Abraham (Abram)			Normal		
GEN	15	9	God		God (Yahweh) (in vision)	Normal		
GEN	15	13	God		God (Yahweh) (in vision)	Normal		
GEN	15	14	God		God (Yahweh) (in vision)	Implicit		
GEN	15	15	God		God (Yahweh) (in vision)	Implicit		
GEN	15	16	God		God (Yahweh) (in vision)	Implicit		
GEN	15	18	God		God (Yahweh) (in vision)	Normal		
GEN	15	19	God		God (Yahweh) (in vision)	Implicit		
GEN	15	20	God		God (Yahweh) (in vision)	Implicit		
GEN	15	21	God		God (Yahweh) (in vision)	Implicit		
GEN	16	2	Sarah (Sarai)			Normal		
GEN	16	5	Sarah (Sarai)			Normal		
GEN	16	6	Abraham (Abram)			Normal		
GEN	16	8	Hagar, Sarai's maid			Normal		
GEN	16	8	Yahweh's angel			Normal	Jesus	
GEN	16	9	Yahweh's angel			Normal	Jesus	
GEN	16	10	Yahweh's angel			Normal	Jesus	
GEN	16	11	Yahweh's angel			Normal	Jesus	
GEN	16	12	Yahweh's angel			Normal	Jesus	
GEN	16	13	Hagar, Sarai's maid			Normal		
GEN	17	1	God		God (Yahweh)	Normal		
GEN	17	2	God		God (Yahweh)	Implicit		
GEN	17	4	God		God (Yahweh)	Implicit		
GEN	17	5	God		God (Yahweh)	Implicit		
GEN	17	6	God		God (Yahweh)	Implicit		
GEN	17	7	God		God (Yahweh)	Implicit		
GEN	17	8	God		God (Yahweh)	Implicit		
GEN	17	9	God		God (Yahweh)	Normal		
GEN	17	10	God		God (Yahweh)	Implicit		
GEN	17	11	God		God (Yahweh)	Implicit		
GEN	17	12	God		God (Yahweh)	Implicit		
